stcc2,mape_xgb,mape_seasonal,mape_persist,n
01,8.570318936775905,10.872357407201948,8.101345052340788,72.0
10,7.069139748098798,10.918872595495351,7.647994492673245,72.0
11,8.83071920927801,15.870938244801625,8.571591209931888,72.0
13,17.14559439496408,41.869057639852045,16.211339802268895,72.0
14,6.947191622070975,13.890495671447425,8.078052678980727,72.0
20,5.611049357325296,6.1456310217546495,6.7132251012745,72.0
22,22.308617541693096,24.60504802107924,22.772369983342916,72.0
23,8.400053944550976,11.416091211628748,8.713929903966756,72.0
24,5.448244079917865,6.634838659776474,6.567408222553155,72.0
25,14.811641403589412,29.295914777306525,14.010695860668967,72.0
26,5.548750853885836,6.318095330642093,5.983151094119532,72.0
27,23.562673377999385,33.238947340532356,23.541852134121985,72.0
28,5.214306381203662,5.747444267641931,5.450365349038365,72.0
29,5.351778992763481,7.127854152953193,5.954137387995375,72.0
30,11.649430880205841,13.906194659564605,11.774965158876743,72.0
32,4.784371797320023,6.069241667395264,7.838292183550168,72.0
33,6.716843078428865,11.673649834730277,7.5605503812434565,72.0
34,16.548795486846892,25.37647618581047,15.006445603653217,72.0
35,18.364054867241673,26.031077790962687,17.804033336873417,72.0
36,7.939156659329583,8.601448075821242,10.03183507402579,72.0
37,11.223057364591778,16.86367207498676,10.845120123033285,72.0
38,25.260895029721492,40.8568534184135,28.06257189518846,72.0
39,21.106644137620766,25.12277235437071,21.783668848368322,72.0
40,6.973287619753414,7.784382675409265,6.2786935532570585,72.0
41,18.231294954722348,22.68814923383494,18.32205491989342,72.0
42,173.08401665088468,611.8998199513959,25.635956476039823,72.0
44,7.428506482110203,10.31401980413033,8.743149135347238,72.0
46,5.64841459953883,8.78138425504843,6.636763152275471,72.0
47,11.332663628511863,21.64787578674792,10.82859901419821,72.0
48,16.942772347980195,21.799034003303905,16.454120265992398,72.0
