model,mape_pct,rmse_mt,n_mape,n_rmse
persistence,12.397475913169787,0.9315620764480614,2160,2160
xgboost,17.466211816800428,0.930355955460547,2160,2160
seasonal-naive,36.778921270468,1.5377309090966598,2160,2160
